,Ans,Bef,Rag,Gor,Tat,Kio,Lop,Mda,H,Ii,v
2,=v2+v177,11,-39,=Gor434+Gor8,58,-32,-32,-94,79,20,=v434*Ans333
434,20,36,=Mda90+Ans15,-45,=Lop2-Lop15,89,60,-79,-23,-80,32
8,=H2+v2,-22,=Ii8/Rag90,=Ii434-Bef90,57,=Gor77-Gor77,-11,23,-73,-18,31
65,37,=Kio177+Mda645,-21,-10,67,-85,26,94,37,0,-88
333,11,-97,-66,-76,14,-94,-50,71,=Bef15-Gor99,85,44
1212,-3,9,64,=Bef16-Ii98,39,35,92,=Rag854-Tat854,-89,-9,=Ans8-Rag8
525,-11,55,=Rag98*Rag1212,79,43,-57,57,9,=Lop77+v99,-7,=v2*Lop16
645,-42,-8,72,69,-15,=Rag3763+Tat645,-36,1,88,73,40
854,38,-17,-51,=Lop90+v90,-49,-45,68,91,40,-71,=Ans8/Gor16
3763,-81,-7,73,-94,-87,=Bef2*Bef2,-85,68,67,-81,86
322,70,-55,66,-54,=Kio333/Gor333,-58,70,66,-18,43,-38
43554,-66,0,-98,49,95,-59,21,16,-60,-85,3
77,=Kio2/H2,-4,-83,=Lop333-H13,-100,-22,-1,10,-38,65,12
90,=Kio645+Rag99,58,26,98,-31,=Tat77*Rag177,-49,-32,-10,-73,=Bef13/Rag13
99,3,=H2-Kio645,-29,-35,-21,-18,92,32,-36,26,=v65+Gor99
98,-14,36,-89,-34,19,92,-9,=H2*H8,=Lop77-Mda43554,-75,42
13,-74,59,=Lop13+Mda13,-78,55,79,57,=Rag99*Ans2,-47,-60,-70
15,-77,-22,36,29,69,-63,27,-96,57,-79,-17
16,=Bef16+Mda3763,-73,43,100,48,-93,76,99,-50,95,38
177,94,=Gor645+Gor2,-5,83,=Ans2-Ans90,89,-23,52,56,-81,=Tat8-v322
